Number_of_Neighbours	Number_of_PCs	Number_of_Cells	Number_of_HVGs	Algorithm.Leiden	Algorithm.Louvain	Algorithm.Walktrap	Exp_Type.Droplet	acceptable_ari
26	20	9313	500	0	0	1	1	0
27	20	9313	500	0	0	1	1	0
28	20	9313	500	0	0	1	1	0
29	20	9313	500	0	0	1	1	0
30	20	9313	500	0	0	1	1	0
31	20	9313	500	0	0	1	1	0
32	20	9313	500	0	0	1	1	0
33	20	9313	500	0	0	1	1	0
34	20	9313	500	0	0	1	1	0
35	20	9313	500	0	0	1	1	0
36	20	9313	500	0	0	1	1	0
37	20	9313	500	0	0	1	1	0
38	20	9313	500	0	0	1	1	0
39	20	9313	500	0	0	1	1	0
40	20	9313	500	0	0	1	1	0
41	20	9313	500	0	0	1	1	0
42	20	9313	500	0	0	1	1	0
43	20	9313	500	0	0	1	1	0
44	20	9313	500	0	0	1	1	0
45	20	9313	500	0	0	1	1	0
46	20	9313	500	0	0	1	1	0
47	20	9313	500	0	0	1	1	0
48	20	9313	500	0	0	1	1	0
49	20	9313	500	0	0	1	1	0
50	20	9313	500	0	0	1	1	0
1	6	17090	500	0	0	1	1	0
2	6	17090	500	0	0	1	1	0
3	6	17090	500	0	0	1	1	0
4	6	17090	500	0	0	1	1	0
5	6	17090	500	0	0	1	1	0
6	6	17090	500	0	0	1	1	0
7	6	17090	500	0	0	1	1	0
8	6	17090	500	0	0	1	1	0
9	6	17090	500	0	0	1	1	0
10	6	17090	500	0	0	1	1	0
